Epoch: 21, train loss: 3.6905959049860635, train acc: 0.0742984693877551, val loss: 3.7675716876983643, val acc: 0.06493506493506493
Epoch: 22, train loss: 3.687368909517924, train acc: 0.045865221088435375, val loss: 3.709810256958008, val acc: 0.09090909090909091
Epoch: 23, train loss: 3.669395844141642, train acc: 0.06510416666666667, val loss: 3.679008960723877, val acc: 0.07792207792207792
Epoch: 24, train loss: 3.589970866839091, train acc: 0.08572491496598639, val loss: 3.5623600482940674, val acc: 0.09090909090909091
Epoch: 25, train loss: 3.4414080381393433, train acc: 0.09303252551020408, val loss: 3.442119598388672, val acc: 0.1038961038961039
Epoch: 26, train loss: 3.3253389994303384, train acc: 0.1136532738095238, val loss: 3.3232228755950928, val acc: 0.09090909090909091
Epoch: 27, train loss: 3.2594313621520996, train acc: 0.12776360544217688, val loss: 3.273425579071045, val acc: 0.12987012987012986
Epoch: 28, train loss: 3.252082347869873, train acc: 0.12138605442176871, val loss: 3.265529155731201, val acc: 0.07792207792207792
Epoch: 29, train loss: 3.1710188388824463, train acc: 0.11596513605442177, val loss: 3.12408709526062, val acc: 0.15584415584415584
Epoch: 30, train loss: 3.089001218477885, train acc: 0.13940263605442177, val loss: 3.1143646240234375, val acc: 0.11688311688311688
Epoch: 31, train loss: 3.0710049072901406, train acc: 0.15670174319727892, val loss: 3.1402053833007812, val acc: 0.09090909090909091
Epoch: 32, train loss: 3.05612850189209, train acc: 0.16523171768707481, val loss: 3.0466501712799072, val acc: 0.19480519480519481
Epoch: 33, train loss: 2.9712183078130088, train acc: 0.1647268282312925, val loss: 3.0520853996276855, val acc: 0.12987012987012986
Epoch: 34, train loss: 2.9377079010009766, train acc: 0.1722470238095238, val loss: 2.9432034492492676, val acc: 0.18181818181818182
Epoch: 35, train loss: 2.9098698695500693, train acc: 0.17144982993197277, val loss: 2.9153847694396973, val acc: 0.19480519480519481
Epoch: 36, train loss: 2.8807680209477744, train acc: 0.18476296768707481, val loss: 3.015225648880005, val acc: 0.11688311688311688
Epoch: 37, train loss: 2.821232318878174, train acc: 0.20559630102040816, val loss: 2.9084367752075195, val acc: 0.19480519480519481
Epoch: 38, train loss: 2.73043692111969, train acc: 0.22361288265306123, val loss: 2.975296974182129, val acc: 0.07792207792207792
Epoch: 39, train loss: 2.731965263684591, train acc: 0.22071641156462585, val loss: 2.8579249382019043, val acc: 0.19480519480519481
Epoch: 40, train loss: 2.633946657180786, train acc: 0.23713860544217688, val loss: 2.7725107669830322, val acc: 0.2077922077922078
Epoch: 41, train loss: 2.6239682833353677, train acc: 0.2541454081632653, val loss: 2.682389974594116, val acc: 0.2077922077922078
Epoch: 42, train loss: 2.551343401273092, train acc: 0.2744738520408163, val loss: 2.781146287918091, val acc: 0.15584415584415584
Epoch: 43, train loss: 2.523793578147888, train acc: 0.273171768707483, val loss: 2.7778267860412598, val acc: 0.22077922077922077
Epoch: 44, train loss: 2.4820465246836343, train acc: 0.27678571428571425, val loss: 2.5914218425750732, val acc: 0.2727272727272727
Epoch: 45, train loss: 2.4443345864613852, train acc: 0.30702593537414963, val loss: 2.7361412048339844, val acc: 0.15584415584415584
Epoch: 46, train loss: 2.363158861796061, train acc: 0.3330676020408163, val loss: 2.6741244792938232, val acc: 0.2597402597402597
Epoch: 47, train loss: 2.332502007484436, train acc: 0.35427295918367346, val loss: 2.7102184295654297, val acc: 0.19480519480519481
Epoch: 48, train loss: 2.276971618334452, train acc: 0.3580994897959184, val loss: 2.4789977073669434, val acc: 0.33766233766233766
Epoch: 49, train loss: 2.1973060369491577, train acc: 0.36952593537414963, val loss: 2.55763578414917, val acc: 0.24675324675324675
Epoch: 50, train loss: 2.167550563812256, train acc: 0.3917410714285714, val loss: 2.4714372158050537, val acc: 0.2987012987012987
